eduid,id,official_name,official_short,official_address,official_region,official_years,our_name,our_short,our_years
100014692,000161764,Stredná priemyselná škola stavebná a geodetická,SPŠ stavebná a geodet.,"Lermontovova 1, Košice-Staré Mesto",Košický,"ss:9,ss:4",,,
100014686,000161772,Stredná priemyselná škola strojnícka,SPŠ strojnícka,"Komenského 2, Košice-Staré Mesto",Košický,"ss:9,ss:4",,,
100014672,000161781,Stredná odborná škola technická a ekonomická Jozefa Szakkayho - Szakkay József Műszaki és Közgazdasági Szakközépiskola,SOŠ technická a ekonomická,"Grešákova 1, Košice-Staré Mesto",Košický,"ss:9,ss:4",,,
100012443,000161802,Stredná priemyselná škola techniky a dizajnu,Str. priemyselná škola,"Mnoheľova 828, Poprad",Prešovský,"ss:9,ss:4",,,
100012925,000161829,Stredná priemyselná škola elektrotechnická,SPŠ elektrotechnická,"Plzenská 1, Prešov",Prešovský,"ss:9,ss:4",,,
100012926,000161837,Stredná priemyselná škola stavebná,SPŠ stavebná,"Plzenská 10, Prešov",Prešovský,"ss:9,ss:4",,,
100012813,000161845,Stredná priemyselná škola strojnícka,SPŠ strojnícka,"Duklianska 1, Prešov",Prešovský,"ss:9,ss:4",,,
100005498,000161934,"Obchodná akadémia, Ul. Kálmána Kittenbergera 2",Obchodná akadémia,"Kálmána Kittenbergera 2, Levice",Nitriansky,"ss:9,ss:4",,,
100005731,000161942,Obchodná akadémia,Obchodná akadémia,"Bolečkova 2, Nitra",Nitriansky,"ss:9,ss:4",,,
100006837,000161951,Obchodná akadémia,Obchodná akadémia,"Nám. hrdinov 7, Šurany",Nitriansky,"ss:9,ss:5,ss:4",,,
100004641,000161993,Obchodná akadémia Milana Hodžu,OA Milana Hodžu,"M. Rázusa 1, Trenčín",Trenčiansky,"ss:9,ss:5,ss:4",,,
100002977,000162001,Obchodná akadémia,Obchodná akadémia,"Kukučínova 2, Trnava",Trnavský,"ss:9,ss:5,ss:4",,,
100002404,000162019,Hotelová akadémia Ľudovíta Wintera,Hotelová akadémia,"Stromová 34, Piešťany",Trnavský,"ss:1,ss:9,ss:3,ss:2,ss:5",,,
100009348,000162027,Obchodná akadémia Mareka Frauwirtha,Obchodná akadémia M.F.,"Tajovského 25, Banská Bystrica",Banskobystrický,"ss:9,ss:4",,,
100009684,000162035,Hotelová akadémia,Hotelová akadémia,"Malinovského 1, Brezno",Banskobystrický,"ss:1,ss:9,ss:4,ss:3,ss:2,ss:5",,,
100007097,000162043,Obchodná akadémia Dušana Metoda Janotu,Obchodná akadémia,"17. novembra 2701, Čadca",Žilinský,"ss:9,ss:5,ss:4",,,
100007425,000162051,Obchodná akadémia,Obchodná akadémia,"Radlinského 55, Dolný Kubín",Žilinský,"ss:9,ss:4",,,
100010079,000162060,Obchodná akadémia,Obchodná akadémia,"Lúčna 4, Lučenec",Banskobystrický,"ss:9,ss:4",,,
100007940,000162078,Obchodná akadémia,Obchodná akadémia,"Bernolákova, Martin",Žilinský,"ss:9,ss:5,ss:4",,,
100003917,000162086,Obchodná akadémia,Obchodná akadémia,"Jesenského 6, Považská Bystrica",Trenčiansky,"ss:9,ss:4",,,
100004222,000162094,Obchodná akadémia,Obchodná akadémia,"F. Madvu 2, Prievidza",Trenčiansky,"ss:9,ss:4",,,
100010554,000162108,Obchodná akadémia - Kereskedelmi Akadémia,Obchodná akadémia,"K. Mikszátha 1, Rimavská Sobota",Banskobystrický,"ss:9,ss:4",,,
100009280,000162124,Obchodná akadémia,Obchodná akadémia,"Veľká okružná 32, Žilina",Žilinský,"ss:9,ss:5,ss:4",,,
100011781,000162132,Obchodná akadémia,Obchodná akadémia,"Komenského 1, Humenné",Prešovský,"ss:9,ss:5,ss:4",,,
100014641,000162141,Obchodná akadémia,Obchodná akadémia,"Watsonova 61, Košice-Sever",Košický,"ss:9,ss:5,ss:4",,,
100015071,000162159,Gymnázium,Gymnázium,"Opatovská cesta 7, Košice-Vyšné Opátske",Košický,"gym:8,gym:5,gym:4",,,
100012445,000162167,Obchodná akadémia,Obchodná akadémia,"Murgašova 94, Poprad",Prešovský,"ss:9,ss:4",,,
100012031,000162175,Hotelová akadémia Otta Brucknera,Hotelová akadémia,"Dr. Alexandra 29A, Kežmarok",Prešovský,"ss:1,ss:9,ss:4,ss:3,ss:2,ss:5",,,
100012787,000162191,Hotelová akadémia,Hotelová akadémia,"Baštová 32, Prešov",Prešovský,"ss:1,ss:9,ss:3,ss:2,ss:5",,,
100015871,000162205,Obchodná akadémia,Obchodná akadémia,"Akademika Hronca 8, Rožňava",Košický,"ss:9,ss:5,ss:4",,,
100016552,000162213,Obchodná akadémia,Obchodná akadémia,"Komenského 18, Trebišov",Košický,"ss:9,ss:4",,,
